,,,,,,,,,,
currency,model,,,,,,,,,
,LSTM,Prophet,SARIMA,,,Mean Absolute Error (%) - difference between predicted vs actual values,,,,", lower value = better accuracy"
,,,,,,Root Mean Squared Error - lower value = less error,,,,
AUSTRALIA,0.02436687611,0.08171,0.01,,,Mean Absolute Percentage Error (%) - ,,"accuracy as a percentage, prone to bias, lower = more accurate",,
,3.32%,0.104734,0.02,,,,,,,
,1.8446814737694759 %,0.061974,62.28%,,,,,,,
,,,,,,The larger the difference between RMSE and MAE the more inconsistent the error size,,,,
EURO,0.280888617,0.039454,0.01,,,"low mae, high rmse = consistent moderate miscalculations",,,,
,30.91%,0.050871,0.01,,,"high mae, low rmse = small consistent errors with occasional large error",,,,
,49.16972727167783 %,0.047201,inf%,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NEW ZEALAND,0.01880051754,0.106655,0.01,,,,,,,
,2.39%,0.14568,0.01,,,,,,,
,1.46%,0.067041,27.87%,,,,,,,
,,,,,,,,,,
UNITED KING.,0.04158904403,0.03048,0.01,,,,,,,
,5.29%,0.040963,0.01,,,,,,,
,2.7032338022030324 %,0.046125,355.56%,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BRAZIL,0.04177072272,0.21043,0.02,,,,,,,
,5.44%,0.289305,0.02,,,,,,,
,2.6608564166811624 %,0.075143,28.52%,,,,,,,
,,,,,,,,,,
CANADA,0.5946742296,0.052838,0.01,,,,,,,
,125.92%,0.073022,0.01,,,,,,,
,91.79013032562943 %,0.043573,107.21%,,,,,,,
,,,,,,,,,,
CHINA,0.5946742296,0.099748,0.01,,,,,,,
,3.04%,0.147645,0.01,,,,,,,
,91.79013032562943 %,0.014853,34.73%,,,,,,,
,,,,,,,,,,
HONGKONG,0.6381801367,0.02261,0.01,,,,,,,
,66.40%,0.029847,0.01,,,,,,,
,105.59652364907951 %,0.002902,0.09%,,,,,,,
,,,,,,,,,,
INDIA,0.1757766902,1.61653,0.3,,,,,,,
,21.68%,2.176587,0.33,,,,,,,
,15.597693956143155 %,0.030184,333.41%,,,,,,,
,,,,,,,,,,
KOREA,0.158788234,54.250365,4.35,,,,,,,
,18.91%,79.388077,4.99,,,,,,,
,13.273144971774911 %,0.045639,15.73%,,,,,,,
,,,,,,,,,,
MEXICO,0.1577140987,0.79061,0.17,,,,,,,
,18.74%,1.163135,0.19,,,,,,,
,13.10088627686819 %,0.051347,57.54%,,,,,,,
,,,,,,,,,,
SOUTH AFRICA,2.780557394,0.705897,0.23,,,,,,,
,375.37%,1.042053,0.25,,,,,,,
,35.517855634753445 %,0.067851,44.59%,,,,,,,
,,,,,,,,,,
SINGAPORE,0.01478250232,0.03906,0,,,,,,,
,1.83%,0.049653,0,,,,,,,
,1.018807959614969 %,0.02715,65.16%,,,,,,,
,,,,,,,,,,
DENMARK,6.347697258,0.293306,0.05,,,,,,,
,641.98%,0.377742,0.05,,,,,,,
,331.45931935673605 %,0.047129,1263.29%,,,,,,,
,,,,,,,,,,
JAPAN,32.70181656,3.906042,0.45,,,,,,,
,3512.65%,5.650835,0.51,,,,,,,
,43.72559919645288 %,0.037359,79.07%,,,,,,,
,,,,,,,,,,
MALAYSIA,0.06519647688,0.128122,0.01,,,,,,,
,7.61%,0.19792,0.02,,,,,,,
,1.8749274611696647 %,0.034417,29.68%,,,,,,,
,,,,,,,,,,
NORWAY,1.087945461,0.381298,0.12,,,,,,,
,127.65%,0.505906,0.15,,,,,,,
,15.998050829610227 %,0.052973,45.20%,,,,,,,
,,,,,,,,,,
SWEDEN,7.323996544,0.459311,0.06,,,,,,,
,742.36%,0.640661,0.06,,,,,,,
,1129.6185494618185 %,0.057789,70.48%,,,,,,,
,,,,,,,,,,
SRILANKA,75.24749756,3.382178,0.24,,,,,,,
,7971.12%,4.954121,0.29,,,,,,,
,171.23099812095245 %,0.026515,112.78%,,,,,,,
,,,,,,,,,,
SWISS,0.5625993013,0.039536,0.01,,,,,,,
,61.82%,0.053045,0.01,,,,,,,
,93.86108456389114 %,0.03666,64.66%,,,,,,,
,,,,,,,,,,
TAIWAN,1.429177284,0.860534,0.03,,,,,,,
,167.09%,1.15531,0.04,,,,,,,
,4.501509348340491 %,0.02712,10.40%,,,,,,,
,,,,,,,,,,
THAILAND,35.02714157,1.251195,0.12,,,,,,,
,3533.45%,1.540034,0.16,,,,,,,
,5360.496612211237 %,0.036862,56.63%,,,,,,,